Destination Id,Landmarks,Landmark ID
840808,Alameda Park,10554349
840808,Cerro del Borrego Cable Car,10443020
840808,Valley Square Shopping Center,1796123
840808,Castle Park,10554351
840808,Museo de Arte del Estado,10554348
840808,Cerro del Borrego,10554350
840808,Veracruz State Art Museum,1796124
840808,Former San José de Gracia Convent,12910268
840808,Orizaba Cathedral,12910269
840808,Poliforum Mier y Pesado,12910863
852163,City center,852163
862706,City center,862706
862706,El Panchán,10534305
862706,Palenque Archaeological Zone,1674545
862706,"Palenque, Chiapas (PQM-Palenque Intl.)",1648330
862706,Aluxes Eco Park,1773875
862706,Cascada de Roberto Barrios,10555707
862706,Museo Del Textil,10520973
862706,Museo de Sitio Palenque,11130341
862706,Palenque National Park,12912038
844082,City center,844082
841209,City center,841209
841209,El Tajin,1674547
841209,"Poza Rica, Veracruz (PAZ-El Tajin National)",1648325
841209,Los Voladores of Papantla,1798514
841209,Iglesia de Nuestra Señora de la Asunción,10554176
841209,Plaza Menor,10554172
841209,Zócalo,10554175
841209,Museo de la Ciudad Teodoro Cano,10554177
841209,Volador Monument,10554174
841209,Museo Teodoro Cano,10520964
841209,Casa de la Cultura,10554173
827060,City center,827060
827060,San Lorenzo Hacienda,10545716
827060,La Luz Lake,10534259
827060,Monument to the Founders,10459690
827060,Los Monos Museum,10554204
827060,Chapel of Santo Madero,10554205
843470,City center,843470
843470,Basque of Quiroga Square,1721160
843470,Plaza Vasco de Quiroga (Plaza Grande),10554192
843470,House of the Eleven Patios,1721162
843470,Nuestra Senora de la Salud Basilica,1777071
843470,Gertrudis Bocanegra Square,1777075
843470,Stirrup Hill Viewpoint,1777073
843470,Casa de los Once Patios,10554193
843470,Churches,10554197
843470,Museo de Artes Populares,10554194
843470,El Estribo,10554196
843470,Temple Sagrario,1721161
834975,No landmarks,No landmarks
849911,City center,849911
830922,City center,830922
830922,Centro Cultural de Real de Catorce,10554302
830922,Pueblo Fantasma,10453848
830922,Purisima Concepcion Temple,10554303
830922,Palenque de Gallos,10554301
830922,Galeria Vega m57,10554300
830922,Plaza Principal,10453862
847305,City center,847305
845001,City center,845001
852279,City center,852279
852279,San Cristobal de las Casas Cathedral,1753946
852279,Museo de San Cristóbal,10894909
852279,Santo Domingo Handicraft Market,1773864
852279,Arches of Carmen,1773855
852279,Grutas de San Cristóbal,10554285
852279,Ex-Convent of Santo Domingo,1773862
852279,Church of San Cristobal,1753944
852279,Mayan Medicine Museum,10554292
852279,Amber Museum of Chiapas,1720677
852279,Centro Cultural de los Altos,10554289
852279,Na Bolom Cultural Museum,1773861
852279,Plaza de La Paz,1753951
852279,Mesoamerican Museum of Jade,1773866
852279,Guadalupe Church,10441351
852279,Templo del Carmen,10521256
852279,Laguna Miramar,10521260
852279,El Arcotete,10441353
852279,Ciudad Cuauhtemoc,10521251
852279,Plaza 31 de Marzo,10554288
855775,City center,855775
855775,Ranas y Toluquilla Archaeological Site,10521293
837708,City center,837708
837708,Cristo Roto Sanctuary,10540404
10413916,City center,10413916
823818,City center,823818
823818,Mitla,1674538
823818,Mitla Archaeological Site,10554345
823818,Ancient Mitla,10554346
829640,City center,829640
829640,University of the Americas Puebla,10459833
829640,Zócalo,10554354
829640,Great Pyramid of Cholula,1719804
829640,"Puebla, Puebla (PBC-Hermanos Serdan Intl.)",1648326
829640,Container City,10459867
829640,La Virgen de los Remedios Sanctuary,1788772
829640,Santuario de Nuestra Señora de los Remedios,10554353
829640,Ex-Convento de San Gabriel,10554359
829640,San Gabriel Convent,1788806
829640,Botanic Garden Tzapoteca Dra Helia Bravo Hollis,10521361
829640,Francisco Pelaez Ethnobotanical Garden,1797652
829640,La Barrica Museum,1797653
829640,Capilla Real,10554357
829640,Museo de la Ciudad de Cholula,10554352
829640,Plaza de la Concordia,10459815
829640,Templo de San Gabriel,10554356
829640,Capilla de la Tercera Orden,10554358
839781,City center,839781
839781,"Guadalajara, Jalisco (GDL-Don Miguel Hidalgo y Costilla Intl.)",905021
839781,San Pedro Parish,1762212
839781,Refuge Cultural Center,10521174
839781,Western Institute of Technology and Higher Education,10894856
839781,Museo Regional de la Cerámica,10534439
839781,Regional Ceramic Museum,1762008
839781,Museo Pantaleón Panduro,10534438
839781,Plaza de Toros El Centenario,1654227
11115168,City center,11115168
11115168,San Pedro y San Pablo Teposcolula Catholic Church,12489617
11115168,Casa de la Cacica,12483163
1780048,City center,1780048
1780048,San Sebastian Del Oeste Square,10456105
1780048,Bull Ring,10456076
1780048,Church of San Sebastian del Oeste,10456099
835511,City center,835511
835511,Pena de Bernal,1687964
835511,"Queretaro, Queretaro (QRO-Queretaro Intl.)",1648332
835511,Museo del Dulce,11426511
1776677,City center,1776677
863736,City center,863736
863736,Cascada Cola de Caballo,1654470
863736,Presa La Boca,1654492
863736,Matacanes Canyon,10545744
863736,Cascada del Chipitin,10545743
863736,Bungee Cola de Caballo,10545742
862952,City center,862952
862952,"Puerto Vallarta, Jalisco (PVR-Licenciado Gustavo Diaz Ordaz Intl.)",905018
862952,Sayulita Square,1780126
862952,Rancho Mi Chaparrita,1780132
862952,Sayulita Farmers Market,1780215
862952,Gringo Hill,12527818
862952,Nanzal Hill,12536545
862952,Patzcuiarito,12682433
862952,Playa los Muertos,12681514
855285,No landmarks,No landmarks
829733,City center,829733
861172,City center,861172
861172,Talpa Basilica Lady of the Rosary,10910416
846847,City center,846847
846847,Los Piedrotas,1771050
846847,Sierra de Chiquilistlan,1779656
846847,Eko Park Tapalpa,1779679
846847,Salto del Nogal Waterfall,1779685
846847,Our Lady of Guadalupe Church,1776493
846847,Bosque La Mexicana,1779675
846847,Salto del Nogal,10521298
846847,San Antonio de Padua Temple,1776495
846847,Tapalpa House of Culture,1776491
848679,City center,848679
848679,Cave of the Lighted House,10534301
829603,City center,829603
829603,Santa Prisca Cathedral,1775579
829603,Teleferico de Montetaxco,10540388
829603,Guerrero Park,1775602
829603,Borda Square,1775588
829603,Casa Borda Cultural Center,1775592
829603,Casa Humboldt,1775590
829603,Silver Museum,10521262
829603,Plaza de las Americas Shopping Mall,1775600
829603,Figueroa House Museum,10540387
829603,Guillermo Spratling Museum,1775597
848174,City center,848174
848174,"Tijuana, Baja California Norte (TIJ-General Abelardo L. Rodriguez Intl.)",1648342
848174,La Madre Monument,10445762
848174,Miguel Hidalgo Park,10534345
848174,Nuestra Senora de Guadalupe Church,10534344
830588,City center,830588
830588,El Arenal Aquatic Park,10540410
830588,El Geiser Thermal Pools,10521289
830588,Torreon Plaza,10453934
847863,City center,847863
847863,Benito Juarez International Airport (MEX),1636098
847863,Xochitla Ecological Park,1710212
847863,Temple of San Francisco Javier,10442590
847863,National Museum of the Viceroyalty,10554245
847863,Arcos Del Sitio,10906476
841212,City center,841212
841212,El Tepozteco National Park and Pyramid,1674576
841212,Tepozteco Pyramid,1777208
841212,Artisan Market of Tepoztlan,11419734
841212,Experiencia Tepoztlan Language School,1797211
841212,Ex-Convent of the Nativity,10534475
841212,Cocinar Mexicano,10521087
858542,City center,858542
858542,Agave Landscape and Ancient Industrial Facilities of Tequila,12927090
851801,City center,851801
851801,Downtown Tequisquiapan,1783769
851801,"Queretaro, Queretaro (QRO-Queretaro Intl.)",1648332
851801,Termas del Rey Water Park,10442991
851801,Tequisquiapan Opal Mine,1798329
851801,Ezequiel Montes Street Market,10442914
851801,La Pila Park,10554243
851801,Plaza Miguel Hidalgo,10554244
851801,El Oasis Water Park,10442948
851801,Tequisquiapan Handicraft Market,1687960
851801,Temazcal Tonatiu Iquzayampa,12506548
851801,Church of Santa Maria,1798331
11114421,No landmarks,No landmarks
859181,City center,859181
859181,Zocalo De Tlatlauquitepec,12910829
1901407,City center,1901407
855704,City center,855704
855704,Sanctuary of Carmen,1777086
855704,Dos Estrella Mine,10441345
855704,López Rayon Brothers Museum,12490942
855704,Rayón National Park,12910289
11115911,City center,11115911
1901049,City center,1901049
1901049,Punta Lobos,10815351
1901049,Todos Santos Plaza,1770359
1901049,Playa La Cachora,10521124
1901049,Tortugueros Las Playitas Sea Turtle Conservation Project,10521119
1901049,Los Pinos Park,1770358
1901049,Prof. Nestor Agundez Martinez Cultural Center,1770360
1901049,Teatro Marquez de Leon,10521123
1901049,Centro Cultural,10534412
1901049,Ochre-Colored Church,10521126
1901049,Nuestra Senora del Pilar Church,1770357
1901049,La Bodega de Todos Santos,10521120
1901049,Trapiches,10534411
1901049,Logan Gallery,10815549
841157,City center,841157
859870,City center,859870
859870,Tulum Beach,10453524
859870,Playa Paraiso,10521427
859870,Tulum Mayan Ruins,466
859870,"Tulum, Quintana Roo (TUY)",1772665
859870,Las Palmas Public Beach,10903737
859870,Playa Ruinas,10903738
859870,Soliman Bay,1910934
859870,Xel-Há Park,1674581
859870,Gran Cenote,1752897
859870,Tulum National Park,1674580
859870,Cenote Crystal,10540452
859870,SFER IK,12544033
859870,Cenote Manatí,10521466
859870,Temple of Doom,10555689
859870,LabnaHa Ecopark Adventures,1752885
859870,Cenotes Sac Actun,10521429
859870,Dos Ojos Cenote,1768738
859870,Tulum Monkey Sanctuary,1768739
849815,City center,849815
849815,Franciscan Convent of Santa Ana Old Museum,10441333
846715,City center,846715
846715,Cenote Zaci,1781738
846715,Cathedral of San Gervasio,1781732
846715,Cenote Samula,10462845
846715,Convent de San Bernardino de Siena,1781742
846715,Cenote Suytun,10545690
846715,Casa de los Venados,1781731
846715,Cenote Xkeken,1781736
846715,Mercado Municipal,10554433
846715,Calzada de los Frailes,12474953
846715,Pancho Vila Tequileria,10521433
846715,Museo de San Roque,10554432
836070,City center,836070
836070,Lake Avandaro,1722614
836070,Velo de Novia Waterfalls,1775428
836070,Rancho Avandaro Country Club,10453785
836070,Central Square,10442488
836070,Church of Saint Mary,10442440
836070,Casa De Oración Carmel Maranatha OCD,11423465
836070,Joaquin Arcadio Pagaza Cultural Center,10442407
836070,Valle de Bravo Archaeological Museum,11422764
836070,Saint Francis of Assisi Church,10442420
861671,No landmarks,No landmarks
863547,City center,863547
860515,City center,860515
860515,Veracruz Harbour,1719813
860515,Veracruz Aquarium,1719887
860515,World Trade Center Veracruz,1720569
860515,Mocambo Beach,1720565
860515,Zocalo,10442954
860515,Plaza Las Americas Shopping Mall,1720550
860515,"Veracruz, Veracruz (VER-General Heriberto Jara Intl.)",1648348
860515,Paseo del Malecón & Boulevard,10554322
860515,Veracruz Central Station,1798562
860515,Andamar Lifestyle Center,10449661
860515,Chachalacas Beach,10554329
860515,Zócalo,10554321
860515,Benito Juarez Auditorium,10443000
860515,Foro Boca,11423102
860515,Veracruz Institute of Technology,1720533
860515,Plaza Mocambo Veracruz,10457928
860515,Veracruz Cathedral,1798524
860515,Bastion of Santiago Museum,1720506
860515,Rio Filobobos Veracruz,10521343
843657,City center,843657
847236,City center,847236
847236,Las Pozas,10520958
847236,El Saltire,10753958
847236,Church of San Agustin,10753959
847236,Leonora Carrington Museum,12483167
850818,City center,850818
831864,City center,831864
831864,Floral Clock,1788825
831864,Piedras Encimadas Valley,1788362
831864,Quetzalapan Falls,1788461
831864,Zacatlan General Hospital,1788827
831864,Temple of San Pedro,1788824
831864,Ex-Convent of San Francisco,1788826
831864,Revolucion Municipal Market,1788828
831864,Tuliman Waterfalls,12910512
831864,Zacatlan de Las Manzanas Mural,12910323
832516,City center,832516
11116120,City center,11116120
